Currency_base,Currency_dest,Date,Exchange_Rate,Description
EUR,AUD,2023-02-09,1.5409,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)"
EUR,AUD,2023-02-10,1.5432,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)"
EUR,BGN,2023-02-09,1.9558,"ECB reference exchange rate, Bulgarian lev/Euro, 2:15 pm (C.E.T.)"
EUR,BGN,2023-02-10,1.9558,"ECB reference exchange rate, Bulgarian lev/Euro, 2:15 pm (C.E.T.)"
EUR,BRL,2023-02-09,5.6165,"ECB reference exchange rate, Brazilian real/Euro, 2:15 pm (C.E.T.)"
EUR,BRL,2023-02-10,5.6245,"ECB reference exchange rate, Brazilian real/Euro, 2:15 pm (C.E.T.)"
EUR,CAD,2023-02-09,1.4423,"ECB reference exchange rate, Canadian dollar/Euro, 2:15 pm (C.E.T.)"
EUR,CAD,2023-02-10,1.4364,"ECB reference exchange rate, Canadian dollar/Euro, 2:15 pm (C.E.T.)"
EUR,CHF,2023-02-09,0.989,"ECB reference exchange rate, Swiss franc/Euro, 2:15 pm (C.E.T.)"
EUR,CHF,2023-02-10,0.9872,"ECB reference exchange rate, Swiss franc/Euro, 2:15 pm (C.E.T.)"
EUR,CNY,2023-02-09,7.2992,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2:15 pm (C.E.T.)"
EUR,CNY,2023-02-10,7.2837,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2:15 pm (C.E.T.)"
EUR,CZK,2023-02-09,23.698,"ECB reference exchange rate, Czech koruna/Euro, 2:15 pm (C.E.T.)"
EUR,CZK,2023-02-10,23.692,"ECB reference exchange rate, Czech koruna/Euro, 2:15 pm (C.E.T.)"
EUR,DKK,2023-02-09,7.4419,"ECB reference exchange rate, Danish krone/Euro, 2:15 pm (C.E.T.)"
EUR,DKK,2023-02-10,7.4445,"ECB reference exchange rate, Danish krone/Euro, 2:15 pm (C.E.T.)"
EUR,GBP,2023-02-09,0.88515,"ECB reference exchange rate, UK pound sterling/Euro, 2:15 pm (C.E.T.)"
EUR,GBP,2023-02-10,0.88348,"ECB reference exchange rate, UK pound sterling/Euro, 2:15 pm (C.E.T.)"
